x,y,z
1.8,7.2,0.0
1.8,7.4,0.0
1.8,7.6,0.0
1.8,7.8,0.0
1.8,8.0,0.0
1.8,8.2,0.0
1.8,8.4,0.0
1.8,8.6,0.0
1.8,8.8,0.0
1.8,9.0,0.0
1.8,9.2,0.0
1.8,9.4,0.0
1.8,9.6,0.0
2.0,0.0,0.0
2.0,0.2,0.0
2.0,0.4,0.0
2.0,0.6,0.0
2.0,0.8,0.0
2.0,1.0,0.0
2.0,1.2,0.0
2.0,1.4,0.0
2.0,1.6,0.0
2.0,1.8,0.005
2.0,2.0,0.0
2.0,2.2,0.0
2.0,2.4,0.0
2.0,2.6,0.0
2.0,2.8,0.0
2.0,3.0,0.0
2.0,3.2,0.0
2.0,3.4,0.0
2.0,3.6,0.0
2.0,3.8,0.0
2.0,4.0,0.0
2.0,4.2,0.0
2.0,4.4,0.0
2.0,4.6,0.0
2.0,4.8,0.0
2.0,5.0,0.0
2.0,5.2,0.0
2.0,5.4,0.0
2.0,5.6,0.0
2.0,5.8,0.0
2.0,6.0,0.0
2.0,6.2,0.0
2.0,6.4,0.0
2.0,6.6,0.0
2.0,6.8,0.0
2.0,7.0,0.0
2.0,7.2,0.0
2.0,7.4,0.0
2.0,7.6,0.0
2.0,7.8,0.0
2.0,8.0,0.0
2.0,8.2,0.0
2.0,8.4,0.0
2.0,8.6,0.0
2.0,8.8,0.0
2.0,9.0,0.0
2.0,9.2,0.0
2.0,9.4,0.0
2.0,9.6,0.0
2.2,0.0,0.0
2.2,0.2,0.0
2.2,0.4,0.0
2.2,0.6,0.0
2.2,0.8,0.0
2.2,1.0,0.0
2.2,1.2,0.0
2.2,1.4,0.0
2.2,1.6,0.0
2.2,1.8,0.0
2.2,2.0,0.0
2.2,2.2,0.0
2.2,2.4,0.0
2.2,2.6,0.0
2.2,2.8,0.0
2.2,3.0,0.0
2.2,3.2,0.0
2.2,3.4,0.0
2.2,3.6,0.0
2.2,3.8,0.0
2.2,4.0,0.0
2.2,4.2,0.0
2.2,4.4,0.0
2.2,4.6,0.0
2.2,4.8,0.0
2.2,5.0,0.0
2.2,5.2,0.0
2.2,5.4,0.0
2.2,5.6,0.0
2.2,5.8,0.0
2.2,6.0,0.0
2.2,6.2,0.0
2.2,6.4,0.0
2.2,6.6,0.0
2.2,6.8,0.0
2.2,7.0,0.0
2.2,7.2,0.0
2.2,7.4,0.0
2.2,7.6,0.0
2.2,7.8,0.0
2.2,8.0,0.0
2.2,8.2,0.0
2.2,8.4,0.0
2.2,8.6,0.0
2.2,8.8,0.0
2.2,9.0,0.0
2.2,9.2,0.0
2.2,9.4,0.0
2.2,9.6,0.0
2.4,0.0,0.0
2.4,0.2,0.0
2.4,0.4,0.0
2.4,0.6,0.0
2.4,0.8,0.0
2.4,1.0,0.0
2.4,1.2,0.0
2.4,1.4,0.0
2.4,1.6,0.005
2.4,1.8,0.034
2.4,2.0,0.0
2.4,2.2,0.0
2.4,2.4,0.0
2.4,2.6,0.0
2.4,2.8,0.0
2.4,3.0,0.0
2.4,3.2,0.0
2.4,3.4,0.0
2.4,3.6,0.0
2.4,3.8,0.0
2.4,4.0,0.0
2.4,4.2,0.0
2.4,4.4,0.0
2.4,4.6,0.0
2.4,4.8,0.0
2.4,5.0,0.0
2.4,5.2,0.0
2.4,5.4,0.0
2.4,5.6,0.0
2.4,5.8,0.0
2.4,6.0,0.0
2.4,6.2,0.0
2.4,6.4,0.027
2.4,6.6,0.0
2.4,6.8,0.0
2.4,7.0,0.0
2.4,7.2,0.0
2.4,7.4,0.0
2.4,7.6,0.0
2.4,7.8,0.0
2.4,8.0,0.0
2.4,8.2,0.0
2.4,8.4,0.0
2.4,8.6,0.0
2.4,8.8,0.0
2.4,9.0,0.0
2.4,9.2,0.0
2.4,9.4,0.0
2.4,9.6,0.0
2.6,0.0,0.0
2.6,0.2,0.0
2.6,0.4,0.0
2.6,0.6,0.0
2.6,0.8,0.0
2.6,1.0,0.0
2.6,1.2,0.0
2.6,1.4,0.0
2.6,1.6,0.0
2.6,1.8,0.0
2.6,2.0,0.0
2.6,2.2,0.0
2.6,2.4,0.0
2.6,2.6,0.0
2.6,2.8,0.0
2.6,3.0,0.0
2.6,3.2,0.0
2.6,3.4,0.0
2.6,3.6,0.0
2.6,3.8,0.0
2.6,4.0,0.0
2.6,4.2,0.0
2.6,4.4,0.0
2.6,4.6,0.0
2.6,4.8,0.0
2.6,5.0,0.0
2.6,5.2,0.0
2.6,5.4,0.0
2.6,5.6,0.0
2.6,5.8,0.0
2.6,6.0,0.0
2.6,6.2,0.0
2.6,6.4,0.0
2.6,6.6,0.0
2.6,6.8,0.0
2.6,7.0,0.0
2.6,7.2,0.0
2.6,7.4,0.0
2.6,7.6,0.0
2.6,7.8,0.0
2.6,8.0,0.0
2.6,8.2,0.0
2.6,8.4,0.0
2.6,8.6,0.0
2.6,8.8,0.0
2.6,9.0,0.0
2.6,9.2,0.0
2.6,9.4,0.0
2.6,9.6,0.0
2.8,0.0,0.0
2.8,0.2,0.0
2.8,0.4,0.0
2.8,0.6,0.0
2.8,0.8,0.003
2.8,1.0,0.0
2.8,1.2,0.004
2.8,1.4,0.0
2.8,1.6,0.11
2.8,1.8,0.14
2.8,2.0,0.0
2.8,2.2,0.088
2.8,2.4,0.0
2.8,2.6,0.066
2.8,2.8,0.067
2.8,3.0,0.016
2.8,3.2,0.0
2.8,3.4,0.0
2.8,3.6,0.0
2.8,3.8,0.0
2.8,4.0,0.0
2.8,4.2,0.0
2.8,4.4,0.0
2.8,4.6,0.0
2.8,4.8,0.0
2.8,5.0,0.031
2.8,5.2,0.052
2.8,5.4,0.0
2.8,5.6,0.035
2.8,5.8,0.07
2.8,6.0,0.0
2.8,6.2,0.0
2.8,6.4,0.132
2.8,6.6,0.083
2.8,6.8,0.034
2.8,7.0,0.01
2.8,7.2,0.0
2.8,7.4,0.0
2.8,7.6,0.0
2.8,7.8,0.0
2.8,8.0,0.0
2.8,8.2,0.0
2.8,8.4,0.0
2.8,8.6,0.0
2.8,8.8,0.0
2.8,9.0,0.0
2.8,9.2,0.0
2.8,9.4,0.0
2.8,9.6,0.0
3.0,0.0,0.0
3.0,0.2,0.0
3.0,0.4,0.0
3.0,0.6,0.019
3.0,0.8,0.023
3.0,1.0,0.0
3.0,1.2,0.024
3.0,1.4,0.0
3.0,1.6,0.13
3.0,1.8,0.159
3.0,2.0,0.0
3.0,2.2,0.107
3.0,2.4,0.0
3.0,2.6,0.085
3.0,2.8,0.087
3.0,3.0,0.035
3.0,3.2,0.0
3.0,3.4,0.0
3.0,3.6,0.0
3.0,3.8,0.0
3.0,4.0,0.0
3.0,4.2,0.0
3.0,4.4,0.0
3.0,4.6,0.0
3.0,4.8,0.0
3.0,5.0,0.05
3.0,5.2,0.072
3.0,5.4,0.0
3.0,5.6,0.054
3.0,5.8,0.09
3.0,6.0,0.0
3.0,6.2,0.0
3.0,6.4,0.152
3.0,6.6,0.102
3.0,6.8,0.053
3.0,7.0,0.03
3.0,7.2,0.0
3.0,7.4,0.01
3.0,7.6,0.0
3.0,7.8,0.0
3.0,8.0,0.0
3.0,8.2,0.0
3.0,8.4,0.0
3.0,8.6,0.0
3.0,8.8,0.0
3.0,9.0,0.0
3.0,9.2,0.0
3.0,9.4,0.0
3.0,9.6,0.0
3.2,0.0,0.0
3.2,0.2,0.0
3.2,0.4,0.0
3.2,0.6,0.0
3.2,0.8,0.0
3.2,1.0,0.0
3.2,1.2,0.0
3.2,1.4,0.0
3.2,1.6,0.0
3.2,1.8,0.0
3.2,2.0,0.0
3.2,2.2,0.0
3.2,2.4,0.0
3.2,2.6,0.0
3.2,2.8,0.0
3.2,3.0,0.0
3.2,3.2,0.0
3.2,3.4,0.0
3.2,3.6,0.0
3.2,3.8,0.0
3.2,4.0,0.0
3.2,4.2,0.0
3.2,4.4,0.0
3.2,4.6,0.0
3.2,4.8,0.0
3.2,5.0,0.0
3.2,5.2,0.0
3.2,5.4,0.0
3.2,5.6,0.0
3.2,5.8,0.0
3.2,6.0,0.0
3.2,6.2,0.0
3.2,6.4,0.0
3.2,6.6,0.0
3.2,6.8,0.0
3.2,7.0,0.0
3.2,7.2,0.0
3.2,7.4,0.0
3.2,7.6,0.0
3.2,7.8,0.0
3.2,8.0,0.0
3.2,8.2,0.0
3.2,8.4,0.0
3.2,8.6,0.0
3.2,8.8,0.0
3.2,9.0,0.0
3.2,9.2,0.0
3.2,9.4,0.0
3.2,9.6,0.0
3.4,0.0,0.0
3.4,0.2,0.0
3.4,0.4,0.0
3.4,0.6,0.017
3.4,0.8,0.021
3.4,1.0,0.0
3.4,1.2,0.022
3.4,1.4,0.0
3.4,1.6,0.128
3.4,1.8,0.157
3.4,2.0,0.0
3.4,2.2,0.105
3.4,2.4,0.0
3.4,2.6,0.083
3.4,2.8,0.085
3.4,3.0,0.033
3.4,3.2,0.0
3.4,3.4,0.0
3.4,3.6,0.0
3.4,3.8,0.0
3.4,4.0,0.0
3.4,4.2,0.0
3.4,4.4,0.0
3.4,4.6,0.0
3.4,4.8,0.0
3.4,5.0,0.048
3.4,5.2,0.07
3.4,5.4,0.0
3.4,5.6,0.052
3.4,5.8,0.088
3.4,6.0,0.0
3.4,6.2,0.0
3.4,6.4,0.15
3.4,6.6,0.1
3.4,6.8,0.051
3.4,7.0,0.028
3.4,7.2,0.0
3.4,7.4,0.008
3.4,7.6,0.0
3.4,7.8,0.0
3.4,8.0,0.0
3.4,8.2,0.0
3.4,8.4,0.0
3.4,8.6,0.0
3.4,8.8,0.0
3.4,9.0,0.0
3.4,9.2,0.0
3.4,9.4,0.0
3.4,9.6,0.0
3.6,0.0,0.0
3.6,0.2,0.0
3.6,0.4,0.0
3.6,0.6,0.0
3.6,0.8,0.0
3.6,1.0,0.0
3.6,1.2,0.0
3.6,1.4,0.0
3.6,1.6,0.0
3.6,1.8,0.0
3.6,2.0,0.0
3.6,2.2,0.0
3.6,2.4,0.0
3.6,2.6,0.0
3.6,2.8,0.0
3.6,3.0,0.0
3.6,3.2,0.0
3.6,3.4,0.0
3.6,3.6,0.0
3.6,3.8,0.0
3.6,4.0,0.0
3.6,4.2,0.0
3.6,4.4,0.0
3.6,4.6,0.0
3.6,4.8,0.0
3.6,5.0,0.0
3.6,5.2,0.0
3.6,5.4,0.0
3.6,5.6,0.0
3.6,5.8,0.0
3.6,6.0,0.0
3.6,6.2,0.0
3.6,6.4,0.0
3.6,6.6,0.0
3.6,6.8,0.0
3.6,7.0,0.0
3.6,7.2,0.0
3.6,7.4,0.0
3.6,7.6,0.0
3.6,7.8,0.0
3.6,8.0,0.0
3.6,8.2,0.0
3.6,8.4,0.0
3.6,8.6,0.0
3.6,8.8,0.0
